"sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","arc_length","Points:0","Points:1","Points:2"
-1.064e+08,-8.4199e+06,2.7237e+07,-3.2475e+05,-5.6482e-09,-1.7149e-08,0.0675,0,0.5675,0
-1.0521e+08,-8.3263e+06,2.7587e+07,-3.5751e+05,-5.7918e-09,-1.7343e-08,0.068,0,0.568,0
-1.0401e+08,-8.2326e+06,2.7937e+07,-3.9028e+05,-5.9353e-09,-1.7537e-08,0.0685,0,0.5685,0
-1.0282e+08,-8.139e+06,2.8287e+07,-4.2305e+05,-6.0788e-09,-1.7731e-08,0.069,0,0.569,0
-1.0163e+08,-8.0454e+06,2.8637e+07,-4.5581e+05,-6.2224e-09,-1.7925e-08,0.0695,0,0.5695,0
-1.0043e+08,-7.9518e+06,2.8987e+07,-4.8858e+05,-6.3659e-09,-1.8119e-08,0.07,0,0.57,0
-9.9241e+07,-7.8581e+06,2.9337e+07,-5.2135e+05,-6.5095e-09,-1.8313e-08,0.0705,0,0.5705,0
-9.8048e+07,-7.7645e+06,2.9687e+07,-5.5411e+05,-6.653e-09,-1.8507e-08,0.071,0,0.571,0
-9.6854e+07,-7.6709e+06,3.0037e+07,-5.8688e+05,-6.7966e-09,-1.8701e-08,0.0715,0,0.5715,0
-9.5661e+07,-7.5772e+06,3.0386e+07,-6.1964e+05,-6.9401e-09,-1.8895e-08,0.072,0,0.572,0
-9.4468e+07,-7.4836e+06,3.0736e+07,-6.5241e+05,-7.0837e-09,-1.9089e-08,0.0725,0,0.5725,0
-9.3274e+07,-7.39e+06,3.1086e+07,-6.8518e+05,-7.2272e-09,-1.9283e-08,0.073,0,0.573,0
-9.2081e+07,-7.2963e+06,3.1436e+07,-7.1794e+05,-7.3707e-09,-1.9477e-08,0.0735,0,0.5735,0
-9.0888e+07,-7.2027e+06,3.1786e+07,-7.5071e+05,-7.5143e-09,-1.9671e-08,0.074,0,0.574,0
-8.9694e+07,-7.1091e+06,3.2136e+07,-7.8348e+05,-7.6579e-09,-1.9865e-08,0.0745,0,0.5745,0
-8.8501e+07,-7.0154e+06,3.2486e+07,-8.1624e+05,-7.8014e-09,-2.0059e-08,0.075,0,0.575,0
-8.7568e+07,-6.842e+06,3.2849e+07,-8.6e+05,-7.7167e-09,-1.9871e-08,0.0755,0,0.5755,0
-8.6634e+07,-6.6685e+06,3.3211e+07,-9.0375e+05,-7.6321e-09,-1.9683e-08,0.076,0,0.576,0
-8.57e+07,-6.495e+06,3.3574e+07,-9.4751e+05,-7.5475e-09,-1.9495e-08,0.0765,0,0.5765,0
-8.4767e+07,-6.3216e+06,3.3937e+07,-9.9127e+05,-7.4628e-09,-1.9307e-08,0.077,0,0.577,0
-8.3833e+07,-6.1481e+06,3.4299e+07,-1.035e+06,-7.3782e-09,-1.9119e-08,0.0775,0,0.5775,0
-8.2899e+07,-5.9746e+06,3.4662e+07,-1.0788e+06,-7.2936e-09,-1.8931e-08,0.078,0,0.578,0
-8.1966e+07,-5.8012e+06,3.5024e+07,-1.1225e+06,-7.2089e-09,-1.8742e-08,0.0785,0,0.5785,0
-8.1032e+07,-5.6277e+06,3.5387e+07,-1.1663e+06,-7.1243e-09,-1.8554e-08,0.079,0,0.579,0
-8.0099e+07,-5.4542e+06,3.575e+07,-1.2101e+06,-7.0396e-09,-1.8366e-08,0.0795,0,0.5795,0
-7.9165e+07,-5.2808e+06,3.6112e+07,-1.2538e+06,-6.955e-09,-1.8178e-08,0.08,0,0.58,0
-7.8231e+07,-5.1073e+06,3.6475e+07,-1.2976e+06,-6.8704e-09,-1.799e-08,0.0805,0,0.5805,0
